Constituency,Region,Con,Lab,UKIP,LD,SNP,Grn,DUP,PC,SF,UUP,SDLP,Alliance,Ind,Spk,Others,ValidVotes,WinningParty,SecondPlace,WinningVotes,SecondPlaceVotes,WinningPct,Majority,MajorityPct,TurnoutPct2015,RemainPct,LeavePct,LeaveMajority,2017_winner
Christchurch,South West England,28887.0,4745.0,10663.0,3263.0,,2149.0,,,,,,,,,,49707,Conservative,UKIP,28887,10663,58.11,18224,36.66,,40.2,59.8,19.6,Conservative
Cities of London and Westminster,London,19570.0,9899.0,1894.0,2521.0,,1953.0,,,,,,,,,348.0,36185,Conservative,Labour,19570,9899,54.08,9671,26.73,,71.4,28.6,-42.8,Conservative
City of Durham,North East England,10157.0,21596.0,5232.0,5153.0,,2687.0,,,,,,,,,844.0,45669,Labour,Conservative,21596,10157,47.3,11439,25.05,66.4,55.7,44.3,-11.4,Labour
Clacton,East of England,16205.0,6364.0,19642.0,812.0,,1184.0,,,,,,,,,,44207,UKIP,Conservative,19642,16205,44.43,3437,7.77,,30.0,70.0,40.0,Conservative
Cleethorpes,North East England,21026.0,13133.0,8356.0,1346.0,,1013.0,,,,,,,,,215.0,45089,Conservative,Labour,21026,13133,46.6,7893,17.51,,31.6,68.4,36.8,Conservative
Clwyd South,Wales,10649.0,13051.0,5480.0,1349.0,,915.0,,3620.0,,,,,,,,35064,Labour,Conservative,13051,10649,37.2,2402,6.85,,39.8,60.2,20.4,Labour
Clwyd West,Wales,16463.0,9733.0,4988.0,1387.0,,,,4651.0,,,,,,,806.0,38028,Conservative,Labour,16463,9733,43.29,6730,17.7,,47.5,52.5,5.0,Conservative
"Coatbridge, Chryston and Bellshill",Scotland,3209.0,17195.0,1049.0,549.0,28696.0,,,,,,,,,,,50698,SNP,Labour,28696,17195,68.7,11501,22.69,,61.3,38.7,-22.6,Labour
Colchester,East of England,18919.0,7852.0,5870.0,13344.0,,2499.0,,,,,,,,,109.0,48593,Conservative,Liberal Democrat,18919,13344,38.9,5575,11.47,,49.0,51.0,2.0,Conservative
Colne Valley,Yorkshire and the Humber,25246.0,19868.0,5734.0,3407.0,,1919.0,,,,,,,,,626.0,56800,Conservative,Labour,25246,19868,44.4,5378,9.47,,50.2,49.8,-0.4,Labour
Congleton,North West England,27164.0,10391.0,6922.0,4623.0,,1876.0,,,,,,,,,,50976,Conservative,Labour,27164,10391,53.3,16773,32.9,,47.4,52.6,5.2,Conservative
Copeland,North West England,14186.0,16750.0,6148.0,1368.0,,1179.0,,,,,,,,,,39631,Labour,Conservative,16750,14186,42.3,2564,6.47,,40.2,59.8,19.6,Conservative
Corby,East Midlands,24023.0,21611.0,7708.0,1458.0,,1374.0,,,,,,,,,,56174,Conservative,Labour,24023,21611,42.8,2412,4.29,,39.9,60.1,20.2,Conservative
Coventry North East,West Midlands,9751.0,22025.0,6278.0,2007.0,,1245.0,,,,,,,,,925.0,42231,Labour,Conservative,22025,9751,52.2,12274,29.06,,40.8,59.2,18.4,Labour
Coventry North West,West Midlands,14048.0,18557.0,7101.0,1810.0,,1961.0,,,,,,,,,1769.0,45246,Labour,Conservative,18557,14048,41.0,4509,9.97,60.7,41.4,58.6,17.2,Labour
Coventry South,West Midlands,15284.0,18472.0,5709.0,1779.0,,1719.0,,,,,,,,,736.0,43699,Labour,Conservative,18472,15284,42.3,3188,7.3,61.2,51.1,48.9,-2.2,Labour
Crawley,South East England,22829.0,16303.0,6979.0,1339.0,,1100.0,,,,,,,,,,48550,Conservative,Labour,22829,16303,47.0,6526,13.44,65.7,41.6,58.4,16.8,Conservative
Crewe and Nantwich,North West England,22445.0,18825.0,7252.0,1374.0,,,,,,,,,,,,49896,Conservative,Labour,22445,18825,45.0,3620,7.26,,41.0,59.0,18.0,Labour
Croydon Central,London,22753.0,22588.0,4810.0,1152.0,,1454.0,,,,,,,,,184.0,52941,Conservative,Labour,22753,22588,43.0,165,0.31,,49.7,50.3,0.6,Labour
Croydon North,London,12149.0,33513.0,2899.0,1919.0,,2515.0,,,,,,,,,527.0,53522,Labour,Conservative,33513,12149,62.6,21364,39.92,,59.1,40.9,-18.2,Labour
Croydon South,London,31448.0,14308.0,6068.0,3448.0,,2154.0,,,,,,,,,286.0,57712,Conservative,Labour,31448,14308,54.5,17140,29.7,,54.2,45.8,-8.4,Conservative
"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,3891.0,14820.0,,1099.0,29572.0,,,,,,,,,,,49382,SNP,Labour,29572,14820,59.9,14752,29.87,73.6,62.1,37.9,-24.2,SNP
Cynon Valley,Wales,3676.0,14532.0,4976.0,830.0,,799.0,,5126.0,,,,,,,533.0,30472,Labour,Plaid Cymru,14532,5126,47.7,9406,30.87,,43.1,56.9,13.8,Labour
Dagenham and Rainham,London,10492.0,17830.0,12850.0,717.0,,806.0,,,,,,,,,355.0,43050,Labour,UKIP,17830,12850,41.4,4980,11.57,62.3,30.1,69.9,39.8,Labour
Darlington,North East England,14479.0,17637.0,5392.0,1966.0,,1444.0,,,,,,,,,223.0,41141,Labour,Conservative,17637,14479,42.9,3158,7.68,62.5,42.0,58.0,16.0,Labour
Dartford,South East England,25670.0,13325.0,10434.0,1454.0,,1324.0,,,,,,,,,211.0,52418,Conservative,Labour,25670,13325,49.0,12345,23.55,68.4,36.0,64.0,28.0,Conservative
Daventry,East Midlands,30550.0,9491.0,8296.0,2352.0,,1829.0,,,,,,,,,,52518,Conservative,Labour,30550,9491,58.2,21059,40.1,72.2,41.3,58.7,17.4,Conservative
Delyn,Wales,12257.0,15187.0,6150.0,1380.0,,680.0,,1803.0,,,,,,,,37457,Labour,Conservative,15187,12257,40.5,2930,7.82,69.8,45.3,54.7,9.4,Labour
Denton and Reddish,North West England,9150.0,19661.0,7225.0,957.0,,1466.0,,,,,,,,,222.0,38681,Labour,Conservative,19661,9150,50.8,10511,27.17,58.1,39.0,61.0,22.0,Labour
Derby North,East Midlands,16402.0,16361.0,6532.0,3832.0,,1618.0,,,,,,,,,,44745,Conservative,Labour,16402,16361,36.7,41,0.09,69.1,46.3,53.7,7.4,Labour
Derby South,East Midlands,11179.0,20007.0,6341.0,1717.0,,1208.0,,,,,,,,,368.0,40820,Labour,Conservative,20007,11179,49.0,8828,21.63,58.1,38.4,61.6,23.2,Labour
Derbyshire Dales,East Midlands,24805.0,10761.0,5508.0,3965.0,,2173.0,,,,,,,,,149.0,47361,Conservative,Labour,24805,10761,52.4,14044,29.65,74.6,48.8,51.2,2.4,Conservative
Devizes,South West England,28295.0,6360.0,7544.0,3954.0,,2853.0,,,,,,,,,,49006,Conservative,UKIP,28295,7544,57.7,20751,42.34,70.8,48.6,51.4,2.8,Conservative
Dewsbury,Yorkshire and the Humber,20955.0,22406.0,6649.0,1924.0,,1366.0,,,,,,,,,330.0,53630,Labour,Conservative,22406,20955,41.8,1451,2.71,67.2,42.8,57.2,14.4,Labour
Don Valley,Yorkshire and the Humber,10736.0,19621.0,9963.0,1487.0,,,,,,,,,,,679.0,42486,Labour,Conservative,19621,10736,46.2,8885,20.91,59.6,31.5,68.5,37.0,Labour
Doncaster Central,Yorkshire and the Humber,8386.0,19840.0,9747.0,1717.0,,,,,,,,,,,730.0,40420,Labour,UKIP,19840,9747,49.1,10093,24.97,56.8,33.7,66.3,32.6,Labour
Doncaster North,Yorkshire and the Humber,7235.0,20708.0,8928.0,1005.0,,757.0,,,,,,,448.0,,420.0,39501,Labour,UKIP,20708,8928,52.4,11780,29.82,55.7,28.0,72.0,44.0,Labour
Dover,South East England,21737.0,15443.0,10177.0,1572.0,,1295.0,,,,,,,,,,50224,Conservative,Labour,21737,15443,43.3,6294,12.53,68.9,36.8,63.1,26.3,Conservative
Dudley North,West Midlands,11704.0,15885.0,9113.0,478.0,,517.0,,,,,,,,,295.0,37992,Labour,Conservative,15885,11704,41.8,4181,11.0,62.6,28.6,71.4,42.8,Labour
Dudley South,West Midlands,16723.0,12453.0,7236.0,828.0,,970.0,,,,,,,,,,38210,Conservative,Labour,16723,12453,43.8,4270,11.18,63.3,29.6,70.4,40.8,Conservative
Dulwich and West Norwood,London,11650.0,27772.0,1606.0,5055.0,,4844.0,,,,,,,,,435.0,51362,Labour,Conservative,27772,11650,54.1,16122,31.39,68.3,78.0,22.0,-56.0,Labour
Dumfries and Galloway,Scotland,16926.0,13982.0,1301.0,953.0,23440.0,,,,,,,,,,,56602,SNP,Conservative,23440,16926,41.4,6514,11.51,75.2,54.7,45.3,-9.4,Conservative
"Dumfriesshire, Clydesdale and Tweeddale",Scotland,20759.0,7711.0,1472.0,1392.0,19961.0,839.0,,,,,,,,,,52134,Conservative,SNP,20759,19961,39.8,798,1.53,76.1,56.1,43.9,-12.2,Conservative
Dundee East,Scotland,7206.0,9603.0,,1387.0,28765.0,895.0,,,,,,,,,329.0,48185,SNP,Labour,28765,9603,59.7,19162,39.77,71.0,61.8,38.2,-23.6,SNP
Dundee West,Scotland,3852.0,10592.0,,1057.0,27684.0,1225.0,,,,,,,,,304.0,44714,SNP,Labour,27684,10592,61.9,17092,38.23,67.8,58.9,41.1,-17.8,SNP
Dunfermline and West Fife,Scotland,6623.0,17744.0,,2232.0,28096.0,1195.0,,,,,,,,,,55890,SNP,Labour,28096,17744,50.3,10352,18.52,71.6,60.0,40.0,-20.0,SNP
Dwyfor Meirionnydd,Wales,6550.0,3904.0,3126.0,1153.0,,981.0,,11811.0,,,,,1388.0,,,28913,Plaid Cymru,Conservative,11811,6550,40.9,5261,18.2,65.1,51.7,48.3,-3.4,Plaid Cymru
Ealing Central and Acton,London,21728.0,22002.0,1926.0,3106.0,,1841.0,,,,,,,,,291.0,50894,Labour,Conservative,22002,21728,43.2,274,0.54,71.4,70.9,29.1,-41.8,Labour
Ealing North,London,14419.0,26745.0,3922.0,1575.0,,1635.0,,,,,,,,,214.0,48510,Labour,Conservative,26745,14419,55.1,12326,25.41,65.7,53.7,46.3,-7.4,Labour
Ealing Southall,London,9387.0,28147.0,1769.0,1550.0,,2007.0,,,,,,,,,461.0,43321,Labour,Conservative,28147,9387,65.0,18760,43.3,66.1,58.2,41.8,-16.4,Labour
Easington,North East England,4478.0,21132.0,6491.0,834.0,,733.0,,,,,,,810.0,,146.0,34624,Labour,UKIP,21132,6491,61.0,14641,42.29,56.1,33.5,66.5,33.0,Labour
East Antrim,Northern Ireland,549.0,,3660.0,,,,12103.0,,2314.0,6308.0,1639.0,5021.0,,,1903.0,33497,Democratic Unionist,Ulster Unionist,12103,6308,36.1,5795,17.3,53.3,44.8,55.2,10.4,Democratic Unionist
East Devon,South West England,25401.0,5591.0,6870.0,3715.0,,,,,,,,,13140.0,,,54717,Conservative,Independent,25401,13140,46.4,12261,22.41,73.7,49.6,50.4,0.8,Conservative
East Dunbartonshire,Scotland,4727.0,6754.0,567.0,19926.0,22093.0,804.0,,,,,,,,,,54871,SNP,Liberal Democrat,22093,19926,40.3,2167,3.95,81.91,73.3,26.7,-46.6,Liberal Democrat
East Ham,London,6311.0,40563.0,2622.0,856.0,,1299.0,,,,,,,,,639.0,52290,Labour,Conservative,40563,6311,77.6,34252,65.5,59.8,53.1,46.9,-6.2,Labour
East Hampshire,South East England,31334.0,5220.0,6187.0,5732.0,,3176.0,,,,,,,,,,51649,Conservative,UKIP,31334,6187,60.7,25147,48.69,71.1,51.3,48.7,-2.6,Conservative
"East Kilbride, Strathaven and Lesmahagow",Scotland,7129.0,17151.0,1221.0,1042.0,33678.0,,,,,,,,318.0,,,60539,SNP,Labour,33678,17151,55.6,16527,27.3,72.8,62.1,37.9,-24.2,SNP
East Londonderry,Northern Ireland,422.0,,,,,,14663.0,,6859.0,5333.0,4268.0,2642.0,,,527.0,34714,Democratic Unionist,Sinn Fein,14663,6859,42.2,7804,22.48,51.9,52.0,48.0,-4.0,Democratic Unionist
East Lothian,Scotland,11511.0,18301.0,1178.0,1517.0,25104.0,1245.0,,,,,,,158.0,,,59014,SNP,Labour,25104,18301,42.5,6803,11.53,74.2,64.6,35.4,-29.2,Labour
East Renfrewshire,Scotland,12465.0,19295.0,888.0,1069.0,23013.0,,,,,,,,,,,56730,SNP,Labour,23013,19295,40.6,3718,6.55,81.1,74.3,25.7,-48.6,Conservative
East Surrey,South East England,32211.0,6627.0,9553.0,5189.0,,2159.0,,,,,,,,,364.0,56103,Conservative,UKIP,32211,9553,45.6,22658,40.39,70.4,45.9,54.1,8.2,Conservative
East Worthing and Shoreham,South East England,24686.0,9737.0,8267.0,3360.0,,2605.0,,,,,,,,,1243.0,49898,Conservative,Labour,24686,9737,49.5,14949,29.96,67.2,46.4,53.6,7.2,Conservative
East Yorkshire,Yorkshire and the Humber,25276.0,10343.0,8955.0,2966.0,,1731.0,,,,,,,,,720.0,49991,Conservative,Labour,25276,10343,50.6,14933,29.87,61.7,36.7,63.3,26.6,Conservative
Eastbourne,South East England,20934.0,4143.0,6139.0,20201.0,,1351.0,,,,,,,139.0,,,52907,Conservative,Liberal Democrat,20934,20201,39.6,733,1.39,67.6,42.4,57.6,15.2,Liberal Democrat
Eastleigh,South East England,23464.0,7181.0,8783.0,14317.0,,1513.0,,,,,,,,,247.0,55505,Conservative,Liberal Democrat,23464,14317,42.3,9147,16.48,69.9,46.0,54.0,8.0,Conservative
Eddisbury,North West England,24167.0,11193.0,5778.0,4289.0,,1624.0,,,,,,,,,301.0,47352,Conservative,Labour,24167,11193,51.0,12974,27.4,69.0,47.8,52.2,4.4,Conservative
Edinburgh East,Scotland,4670.0,14082.0,898.0,1325.0,23188.0,2809.0,,,,,,,,,117.0,47089,SNP,Labour,23188,14082,49.2,9106,19.34,70.1,72.4,27.6,-44.8,SNP
Edinburgh North and Leith,Scotland,9378.0,18145.0,847.0,2634.0,23742.0,3140.0,,,,,,,,,122.0,58008,SNP,Labour,23742,18145,40.9,5597,9.65,71.7,78.2,21.8,-56.4,SNP
Edinburgh South,Scotland,8626.0,19293.0,601.0,1823.0,16656.0,2090.0,,,,,,,,,197.0,49286,Labour,SNP,19293,16656,39.1,2637,5.35,74.9,77.8,22.2,-55.6,Labour
Edinburgh South West,Scotland,10444.0,14033.0,1072.0,1920.0,22168.0,1965.0,,,,,,,,,,51602,SNP,Labour,22168,14033,43.0,8135,15.76,71.5,72.1,27.9,-44.2,SNP
Edinburgh West,Scotland,6732.0,6425.0,1015.0,18168.0,21378.0,1140.0,,,,,,,,,,54858,SNP,Liberal Democrat,21378,18168,39.0,3210,5.85,76.5,71.2,28.8,-42.4,Liberal Democrat
Edmonton,London,9969.0,25388.0,3366.0,897.0,,1358.0,,,,,,,,,360.0,41338,Labour,Conservative,25388,9969,61.4,15419,37.3,62.6,54.5,45.5,-9.0,Labour
Ellesmere Port and Neston,North West England,16041.0,22316.0,5594.0,1563.0,,990.0,,,,,,,,,223.0,46727,Labour,Conservative,22316,16041,47.8,6275,13.43,68.6,42.3,57.7,15.4,Labour
Elmet and Rothwell,Yorkshire and the Humber,27978.0,19488.0,6430.0,2640.0,,1261.0,,,,,,,,,,57797,Conservative,Labour,27978,19488,48.4,8490,14.69,73.0,43.7,56.3,12.6,Conservative
Eltham,London,15700.0,18393.0,6481.0,1308.0,,1275.0,,,,,,,,,,43157,Labour,Conservative,18393,15700,42.6,2693,6.24,67.4,48.2,51.8,3.6,Labour
Enfield North,London,19086.0,20172.0,4133.0,1059.0,,1303.0,,,,,,,,,384.0,46137,Labour,Conservative,20172,19086,43.7,1086,2.35,67.7,50.8,49.2,-1.6,Labour
Enfield Southgate,London,22624.0,17871.0,2109.0,1518.0,,1690.0,,,,,,,,,,45812,Conservative,Labour,22624,17871,49.4,4753,10.38,70.5,62.1,37.9,-24.2,Labour
Epping Forest,East of England,27027.0,7962.0,9049.0,3448.0,,1782.0,,,,,,,,,80.0,49348,Conservative,UKIP,27027,9049,54.8,17978,36.43,67.1,39.0,61.0,22.0,Conservative
Epsom and Ewell,South East England,33309.0,8866.0,7117.0,5002.0,,2116.0,,,,,,,,,733.0,57143,Conservative,Labour,33309,8866,58.3,24443,42.78,72.7,52.1,47.9,-4.2,Conservative
Erewash,East Midlands,20636.0,17052.0,7792.0,1658.0,,1184.0,,,,,,,,,,48322,Conservative,Labour,20636,17052,42.7,3584,7.42,67.2,36.7,63.3,26.6,Conservative
Erith and Thamesmead,London,11684.0,21209.0,7368.0,972.0,,941.0,,,,,,,,,443.0,42617,Labour,Conservative,21209,11684,49.8,9525,22.35,61.1,45.7,54.3,8.6,Labour
Esher and Walton,South East England,35845.0,7229.0,5551.0,5372.0,,2355.0,,,,,,,,,624.0,56976,Conservative,Labour,35845,7229,62.9,28616,50.22,71.3,58.4,41.6,-16.8,Conservative
Exeter,South West England,17879.0,25062.0,5075.0,2321.0,,3491.0,,,,,,,,,190.0,54018,Labour,Conservative,25062,17879,46.4,7183,13.3,70.2,55.3,44.7,-10.6,Labour
Falkirk,Scotland,7325.0,15130.0,1829.0,1225.0,34831.0,,,,,,,,,,,60340,SNP,Labour,34831,15130,57.7,19701,32.65,72.4,58.1,41.9,-16.2,SNP
Fareham,South East England,30689.0,7800.0,8427.0,4814.0,,2129.0,,,,,,,,,841.0,54700,Conservative,UKIP,30689,8427,56.1,22262,40.7,70.8,44.6,55.4,10.8,Conservative
Faversham and Mid Kent,South East England,24895.0,7403.0,8243.0,3039.0,,1768.0,,,,,,,,,455.0,45803,Conservative,UKIP,24895,8243,54.4,16652,36.36,65.9,41.8,58.2,16.4,Conservative
Feltham and Heston,London,14382.0,25845.0,6209.0,1579.0,,1390.0,,,,,,,,,,49405,Labour,Conservative,25845,14382,52.3,11463,23.2,60.0,44.1,55.9,11.8,Labour
Fermanagh and South Tyrone,Northern Ireland,,,,,,788.0,,,23078.0,23608.0,2732.0,658.0,,,,50864,Ulster Unionist,Sinn Fein,23608,23078,46.4,530,1.04,72.6,58.6,41.4,-17.2,Sinn Fein
Filton and Bradley Stoke,South West England,22920.0,13082.0,7261.0,3581.0,,2257.0,,,,,,,,,,49101,Conservative,Labour,22920,13082,46.7,9838,20.04,69.4,52.1,47.9,-4.2,Conservative
Finchley and Golders Green,London,25835.0,20173.0,1732.0,1662.0,,1357.0,,,,,,,,,,50759,Conservative,Labour,25835,20173,50.9,5662,11.15,70.5,69.1,30.9,-38.2,Conservative
Folkestone and Hythe,South East England,26323.0,7939.0,12526.0,4882.0,,2956.0,,,,,,,,,384.0,55010,Conservative,UKIP,26323,12526,47.9,13797,25.08,65.8,38.2,61.8,23.6,Conservative
Forest of Dean,South West England,23191.0,12204.0,8792.0,2630.0,,2703.0,,,,,,,,,,49520,Conservative,Labour,23191,12204,46.8,10987,22.19,70.9,42.0,58.0,16.0,Conservative
Foyle,Northern Ireland,132.0,,832.0,,,,4573.0,,11679.0,1226.0,17725.0,835.0,,,,37002,SDLP,Sinn Fein,17725,11679,47.9,6046,16.34,52.8,78.3,21.7,-56.6,Sinn Fein
Fylde,North West England,21406.0,8182.0,5569.0,1623.0,,1381.0,,,,,,,5166.0,,230.0,43557,Conservative,Labour,21406,8182,49.1,13224,30.36,66.3,43.5,56.5,13.0,Conservative
Gainsborough,East Midlands,25949.0,10500.0,7727.0,3290.0,,1290.0,,,,,,,,,505.0,49261,Conservative,Labour,25949,10500,52.7,15449,31.36,67.3,38.0,62.0,24.0,Conservative
Garston and Halewood,North West England,6693.0,33839.0,4482.0,2279.0,,1690.0,,,,,,,,,,48983,Labour,Conservative,33839,6693,69.1,27146,55.42,66.1,52.2,47.8,-4.4,Labour
Gateshead,North East England,5502.0,21549.0,6765.0,2585.0,,1548.0,,,,,,,,,,37949,Labour,UKIP,21549,6765,56.8,14784,38.96,59.4,44.0,56.0,12.0,Labour
Gedling,East Midlands,17321.0,20307.0,6930.0,1906.0,,1534.0,,,,,,,,,,47998,Labour,Conservative,20307,17321,42.3,2986,6.22,68.5,43.9,56.1,12.2,Labour
Gillingham and Rainham,South East England,22590.0,12060.0,9199.0,1707.0,,1133.0,,,,,,,,,389.0,47078,Conservative,Labour,22590,12060,48.0,10530,22.37,64.8,36.5,63.5,27.0,Conservative
Glasgow Central,Scotland,2359.0,12996.0,786.0,612.0,20658.0,1559.0,,,,,,,,,348.0,39318,SNP,Labour,20658,12996,52.5,7662,19.49,55.4,71.2,28.8,-42.4,SNP
Glasgow East,Scotland,2544.0,13729.0,1105.0,318.0,24116.0,381.0,,,,,,,,,224.0,42417,SNP,Labour,24116,13729,56.9,10387,24.49,60.3,56.2,43.8,-12.4,SNP
Glasgow North,Scotland,2901.0,10315.0,486.0,1012.0,19610.0,2284.0,,,,,,,,,314.0,36922,SNP,Labour,19610,10315,53.1,9295,25.17,61.4,78.4,21.6,-56.8,SNP
Glasgow North East,Scotland,1769.0,12754.0,,300.0,21976.0,615.0,,,,,,,,,443.0,37857,SNP,Labour,21976,12754,58.1,9222,24.36,56.8,59.3,40.7,-18.6,Labour
Glasgow North West,Scotland,3692.0,13544.0,,1194.0,23908.0,1167.0,,,,,,,,,349.0,43854,SNP,Labour,23908,13544,54.5,10364,23.63,64.1,68.5,31.5,-37.0,SNP
Glasgow South,Scotland,4752.0,14504.0,,1019.0,26773.0,1431.0,,,,,,,,,299.0,48778,SNP,Labour,26773,14504,54.9,12269,25.15,65.9,71.8,28.2,-43.6,SNP
Glasgow South West,Scotland,2036.0,13438.0,970.0,406.0,23388.0,507.0,,,,,,,,,176.0,40921,SNP,Labour,23388,13438,57.2,9950,24.32,61.8,59.1,40.9,-18.2,SNP
Glenrothes,Scotland,3685.0,14562.0,,892.0,28459.0,,,,,,,,,,,47598,SNP,Labour,28459,14562,59.8,13897,29.2,68.2,53.6,46.4,-7.2,SNP
Gloucester,South West England,23837.0,16586.0,7497.0,2828.0,,1485.0,,,,,,,,,342.0,52575,Conservative,Labour,23837,16586,45.3,7251,13.79,63.4,41.1,58.9,17.8,Conservative
Gordon,Scotland,6807.0,3441.0,1166.0,19030.0,27717.0,,,,,,,,,,,58161,SNP,Liberal Democrat,27717,19030,47.7,8687,14.94,73.3,55.5,44.5,-11.0,Conservative
Gosport,South East England,26364.0,6926.0,9266.0,3298.0,,1707.0,,,,,,,,,104.0,47665,Conservative,UKIP,26364,9266,55.3,17098,35.87,65.1,38.1,61.9,23.8,Conservative
Gower,Wales,15862.0,15835.0,4773.0,1552.0,,1161.0,,3051.0,,,,,168.0,,356.0,42758,Conservative,Labour,15862,15835,37.1,27,0.06,69.2,49.9,50.1,0.2,Labour
Grantham and Stamford,East Midlands,28399.0,9070.0,9410.0,3263.0,,1872.0,,,,,,,,,1741.0,53755,Conservative,UKIP,28399,9410,52.8,18989,35.33,66.2,39.0,61.0,22.0,Conservative
Gravesham,South East England,23484.0,15114.0,9306.0,1111.0,,1124.0,,,,,,,,,,50139,Conservative,Labour,23484,15114,46.8,8370,16.69,67.5,34.6,65.4,30.8,Conservative
Great Grimsby,Yorkshire and the Humber,8874.0,13414.0,8417.0,1680.0,,783.0,,,,,,,,,563.0,33731,Labour,Conservative,13414,8874,39.8,4540,13.46,57.7,28.6,71.4,42.8,Labour
Great Yarmouth,East of England,19089.0,12935.0,10270.0,1030.0,,978.0,,,,,,,,,167.0,44469,Conservative,Labour,19089,12935,42.9,6154,13.84,63.7,28.5,71.5,43.0,Conservative
Greenwich and Woolwich,London,12438.0,24384.0,3888.0,2645.0,,2991.0,,,,,,,,,370.0,46716,Labour,Conservative,24384,12438,52.2,11946,25.57,63.7,64.3,35.7,-28.6,Labour
Guildford,South East England,30802.0,6534.0,4774.0,8354.0,,2558.0,,,,,,,,,964.0,53986,Conservative,Liberal Democrat,30802,8354,57.1,22448,41.58,70.5,58.9,41.1,-17.8,Conservative
Hackney North and Stoke Newington,London,7349.0,31357.0,1085.0,2492.0,,7281.0,,,,,,,,,323.0,49887,Labour,Conservative,31357,7349,62.9,24008,48.12,60.0,79.1,20.9,-58.2,Labour
Hackney South and Shoreditch,London,6420.0,30663.0,1818.0,2186.0,,5519.0,,,,,,,,,1004.0,47610,Labour,Conservative,30663,6420,64.4,24243,50.92,59.5,77.9,22.1,-55.8,Labour
Halesowen and Rowley Regis,West Midlands,18933.0,15851.0,7280.0,905.0,,849.0,,,,,,,,,,43818,Conservative,Labour,18933,15851,43.2,3082,7.03,59.1,33.7,66.3,32.6,Conservative
Halifax,Yorkshire and the Humber,17078.0,17506.0,5621.0,1629.0,,1142.0,,,,,,,,,777.0,43753,Labour,Conservative,17506,17078,40.0,428,0.98,62.1,41.2,58.8,17.6,Labour
Haltemprice and Howden,Yorkshire and the Humber,26414.0,10219.0,6781.0,3055.0,,1809.0,,,,,,,,,479.0,48757,Conservative,Labour,26414,10219,54.2,16195,33.22,68.5,44.6,55.4,10.8,Conservative
Halton,North West England,8007.0,28292.0,6333.0,1097.0,,1017.0,,,,,,,,,277.0,45023,Labour,Conservative,28292,8007,62.8,20285,45.05,61.8,42.2,57.8,15.6,Labour
Hammersmith,London,17463.0,23981.0,2105.0,2224.0,,2105.0,,,,,,,,,82.0,47960,Labour,Conservative,23981,17463,50.0,6518,13.59,66.4,69.0,31.0,-38.0,Labour
Hampstead and Kilburn,London,22839.0,23977.0,1532.0,3039.0,,2387.0,,,,,,,,,190.0,53964,Labour,Conservative,23977,22839,44.4,1138,2.11,67.3,76.6,23.4,-53.2,Labour
Harborough,East Midlands,27675.0,8043.0,7539.0,7037.0,,2177.0,,,,,,,,,,52471,Conservative,Labour,27675,8043,52.7,19632,37.41,67.5,47.8,52.2,4.4,Conservative
Harlow,East of England,21623.0,13273.0,7208.0,904.0,,954.0,,,,,,,,,289.0,44251,Conservative,Labour,21623,13273,48.9,8350,18.87,65.1,32.0,68.0,36.0,Conservative
Harrogate and Knaresborough,Yorkshire and the Humber,28153.0,5409.0,5681.0,11782.0,,2351.0,,,,,,,,,,53376,Conservative,Liberal Democrat,28153,11782,52.7,16371,30.67,69.0,52.8,47.2,-5.6,Conservative
Harrow East,London,24668.0,19911.0,2333.0,1037.0,,846.0,,,,,,,,,205.0,49000,Conservative,Labour,24668,19911,50.3,4757,9.71,69.1,52.5,47.5,-5.0,Conservative
Harrow West,London,19677.0,21885.0,2047.0,1567.0,,1310.0,,,,,,,,,117.0,46603,Labour,Conservative,21885,19677,47.0,2208,4.74,66.9,56.6,43.4,-13.2,Labour
Hartlepool,North East England,8256.0,14076.0,11052.0,761.0,,1341.0,,,,,,,2954.0,,1050.0,39490,Labour,UKIP,14076,11052,35.6,3024,7.66,56.8,30.4,69.6,39.2,Labour
Harwich and North Essex,East of England,24722.0,9548.0,8464.0,3576.0,,2122.0,,,,,,,,,,48432,Conservative,Labour,24722,9548,51.0,15174,31.33,69.9,39.0,61.0,22.0,Conservative
Hastings and Rye,South East England,22686.0,17890.0,6786.0,1614.0,,1951.0,,,,,,,,,,50927,Conservative,Labour,22686,17890,44.5,4796,9.42,67.8,43.8,56.2,12.4,Conservative
Havant,South East England,23159.0,7149.0,9239.0,2929.0,,2352.0,,,,,,,,,,44828,Conservative,UKIP,23159,9239,51.7,13920,31.05,63.5,37.6,62.4,24.8,Conservative
Hayes and Harlington,London,11143.0,26843.0,5388.0,888.0,,794.0,,,,,,,,,,45056,Labour,Conservative,26843,11143,59.6,15700,34.85,60.2,40.6,59.4,18.8,Labour
Hazel Grove,North West England,17882.0,7584.0,5283.0,11330.0,,1140.0,,,,,,,,,,43219,Conservative,Liberal Democrat,17882,11330,41.4,6552,15.16,68.5,47.8,52.2,4.4,Conservative
Hemel Hempstead,East of England,26245.0,11825.0,7249.0,2402.0,,1660.0,,,,,,,,,252.0,49633,Conservative,Labour,26245,11825,52.9,14420,29.05,66.5,44.9,55.1,10.2,Conservative
Hemsworth,Yorkshire and the Humber,9694.0,21772.0,8565.0,1357.0,,,,,,,,,,,1018.0,42406,Labour,Conservative,21772,9694,51.3,12078,28.48,58.3,31.9,68.1,36.2,Labour
